date,country,fuel_type,price_eur_per_litre
2005-01-10,EU,petrol_95,1.0383581403156592
2005-01-10,EUR,diesel,0.9070022256657597
2005-01-10,EUR,fuel_oil,0.20864734860743758
2005-01-10,EUR,lpg,0.531625604982426
2005-01-10,EUR,petrol_95,1.03372490454455
2005-01-10,FI,diesel,0.87736
2005-01-10,FI,fuel_oil,0.29644
2005-01-10,FI,petrol_95,1.1342
2005-01-10,FR,diesel,0.91825
2005-01-10,FR,fuel_oil,0.18696000000000002
2005-01-10,FR,lpg,0.6165900000000001
2005-01-10,FR,petrol_95,1.02762
2005-01-10,GR,diesel,0.758
2005-01-10,GR,fuel_oil,0.20187
2005-01-10,GR,petrol_95,0.748
2005-01-10,HU,diesel,0.93211
2005-01-10,HU,fuel_oil,0.19975
2005-01-10,HU,lpg,0.5935499999999999
2005-01-10,HU,petrol_95,0.92848
2005-01-10,IE,diesel,0.975
2005-01-10,IE,fuel_oil,0.25923
2005-01-10,IE,petrol_95,1.009
2005-01-10,IT,diesel,1.00439
2005-01-10,IT,fuel_oil,0.23837
2005-01-10,IT,lpg,0.55257
2005-01-10,IT,petrol_95,1.088
2005-01-10,LT,diesel,0.7171000000000001
2005-01-10,LT,fuel_oil,0.16798
2005-01-10,LT,lpg,0.42951
2005-01-10,LT,petrol_95,0.70233
2005-01-10,LU,diesel,0.724
2005-01-10,LU,fuel_oil,0.17059
2005-01-10,LU,lpg,0.391
2005-01-10,LU,petrol_95,0.877
2005-01-10,LV,diesel,0.70168
2005-01-10,LV,lpg,0.40034
2005-01-10,LV,petrol_95,0.7160299999999999
2005-01-10,MT,diesel,0.8308300000000001
2005-01-10,MT,fuel_oil,0.17551
2005-01-10,MT,petrol_95,0.86785
2005-01-10,NL,diesel,0.906
2005-01-10,NL,fuel_oil,0.213
2005-01-10,NL,lpg,0.469
2005-01-10,NL,petrol_95,1.218
2005-01-10,PL,diesel,0.83801
2005-01-10,PL,fuel_oil,0.16878
2005-01-10,PL,lpg,0.46905
2005-01-10,PL,petrol_95,0.87579
2005-01-10,PT,diesel,0.84834
2005-01-10,PT,fuel_oil,0.23527
2005-01-10,PT,lpg,0.53
2005-01-10,PT,petrol_95,1.0006
2005-01-10,SE,diesel,0.97313
2005-01-10,SE,fuel_oil,0.60688
2005-01-10,SE,petrol_95,1.09256
2005-01-10,SI,diesel,0.81575
2005-01-10,SI,fuel_oil,0.25309
2005-01-10,SI,lpg,0.5438999999999999
2005-01-10,SI,petrol_95,0.8203400000000001
2005-01-10,SK,diesel,0.88118
2005-01-10,SK,fuel_oil,0.19466
2005-01-10,SK,lpg,0.51858
2005-01-10,SK,petrol_95,0.8451000000000001
2005-01-10,UK,diesel,1.21618
2005-01-10,UK,fuel_oil,0.21928999999999998
2005-01-10,UK,petrol_95,1.14411
2005-01-17,AT,diesel,0.836
2005-01-17,AT,fuel_oil,0.21669999999999998
2005-01-17,AT,heating_oil,0.49274
2005-01-17,AT,petrol_95,0.91
2005-01-17,BE,diesel,0.8536699999999999
2005-01-17,BE,fuel_oil,0.16618
2005-01-17,BE,lpg,0.389
2005-01-17,BE,petrol_95,1.06867
2005-01-17,CY,diesel,0.72141
2005-01-17,CY,petrol_95,0.7564299999999999
2005-01-17,CZ,diesel,0.8134
2005-01-17,CZ,fuel_oil,0.16359
2005-01-17,CZ,lpg,0.48846
2005-01-17,CZ,petrol_95,0.80721
2005-01-17,DE,diesel,0.9695
2005-01-17,DE,fuel_oil,0.1699
2005-01-17,DE,lpg,0.5229
2005-01-17,DE,petrol_95,1.1113
2005-01-17,DK,diesel,0.9085
2005-01-17,DK,fuel_oil,0.5304500000000001
2005-01-17,DK,petrol_95,1.098
2005-01-17,EE,diesel,0.69664
2005-01-17,EE,fuel_oil,0.11325
2005-01-17,EE,lpg,0.43460000000000004
2005-01-17,EE,petrol_95,0.67363
2005-01-17,ES,diesel,0.80808
2005-01-17,ES,fuel_oil,0.21336000000000002
2005-01-17,ES,lpg,0.53
2005-01-17,ES,petrol_95,0.84413
2005-01-17,EU,diesel,0.9270114623009448
2005-01-17,EU,fuel_oil,0.257285602867567
2005-01-17,EU,lpg,0.49469244419082803
2005-01-17,EU,petrol_95,1.043505222546998
2005-01-17,EUR,diesel,0.9052002843419424
2005-01-17,EUR,fuel_oil,0.2171013991952928
2005-01-17,EUR,lpg,0.5311691449713264
